#Chromosome	Start	End	Name	Summit	Score	ChIP	Control	FoldEnrichment	DistributionScore	FDR
chr1	12834579	12834823	Peak_12119	12834701	1.22	1.37	0.15	9.23	1.00	0.30
chr1	12840375	12840619	Peak_13436	12840497	1.02	2.70	0.06	43.59	0.39	0.35
chr1	12840633	12840877	Peak_6770	12840755	3.11	3.18	0.07	42.82	1.00	0.10
chr1	12850894	12851138	Peak_209	12851016	47.26	47.46	0.21	230.98	1.00	0.00
chr1	12865431	12865675	Peak_13498	12865553	1.02	1.44	0.43	3.37	1.00	0.35
chr1	12990347	12990591	Peak_7152	12990469	2.85	3.27	0.41	7.94	1.00	0.13
chr1	12992314	12992558	Peak_10498	12992436	1.55	1.80	0.25	7.20	1.00	0.23
chr1	12992601	12992845	Peak_9645	12992723	1.78	1.90	0.12	15.51	1.00	0.18
chr1	13015285	13015529	Peak_10701	13015407	1.50	2.83	0.09	29.91	0.55	0.23
chr1	13078314	13078558	Peak_7	13078436	106.64	107.07	0.43	249.95	1.00	0.00
chr1	13125615	13125859	Peak_5584	13125737	4.14	4.45	0.30	14.63	1.00	0.04
chr1	13128427	13128671	Peak_5889	13128549	3.83	4.24	0.40	10.49	1.00	0.03
chr1	13142984	13143228	Peak_13520	13143106	1.01	1.31	0.30	4.35	1.00	0.35
chr1	13166785	13167029	Peak_3088	13166907	9.08	9.32	0.24	38.21	1.00	0.00
chr1	13494639	13494883	Peak_12054	13494761	1.24	1.39	0.15	9.13	1.00	0.28
chr1	13513782	13514026	Peak_6727	13513904	3.14	3.37	0.23	14.56	1.00	0.10
chr1	13589800	13590044	Peak_2010	13589922	13.67	15.90	0.05	313.98	0.86	0.00
chr1	13601987	13602231	Peak_9604	13602109	1.79	1.91	0.11	16.59	1.00	0.18
chr1	14729073	14729317	Peak_11525	14729195	1.33	1.43	0.11	13.54	1.00	0.24
chr1	14755175	14755419	Peak_12114	14755297	1.23	1.39	0.16	8.58	1.00	0.30
chr1	14756217	14756461	Peak_10184	14756339	1.63	1.73	0.10	17.12	1.00	0.21
chr1	15152348	15152592	Peak_9657	15152470	1.78	1.96	0.18	10.88	1.00	0.18
chr1	15172776	15173020	Peak_4556	15172898	5.59	5.75	0.16	36.92	1.00	0.00
chr1	15553772	15554016	Peak_3725	15553894	7.25	7.33	0.08	91.26	1.00	0.00
chr1	15651104	15651348	Peak_9806	15651226	1.74	1.94	0.20	9.62	1.00	0.18
chr1	15883670	15883914	Peak_759	15883792	26.12	26.48	0.36	72.76	1.00	0.00
chr1	15907296	15907540	Peak_3399	15907418	8.08	8.22	0.14	58.17	1.00	0.00
chr1	16104291	16104535	Peak_718	16104413	26.88	27.16	0.29	94.82	1.00	0.00
chr1	16116196	16116440	Peak_7042	16116318	2.93	3.18	0.26	12.36	1.00	0.11
chr1	16665032	16665276	Peak_2432	16665154	11.53	11.60	0.06	178.47	1.00	0.00
chr1	17374091	17374335	Peak_8220	17374213	2.30	2.60	0.30	8.61	1.00	0.16
chr1	18016340	18016584	Peak_1285	18016462	19.37	19.47	0.10	192.60	1.00	0.00
chr1	18047802	18048046	Peak_6680	18047924	3.18	3.25	0.07	43.36	1.00	0.09
chr1	18408768	18409012	Peak_2035	18408890	13.47	13.75	0.29	47.96	1.00	0.00
chr1	19139255	19139499	Peak_4924	19139377	5.04	5.09	0.06	89.74	1.00	0.00
chr1	19226798	19227042	Peak_1885	19226920	14.42	14.63	0.21	69.58	1.00	0.00
chr1	19241418	19241662	Peak_10088	19241540	1.66	1.90	0.25	7.70	1.00	0.21
chr1	20450467	20450711	Peak_9919	20450589	1.70	1.82	0.11	16.02	1.00	0.21
chr1	20761843	20762087	Peak_6082	20761965	3.66	3.84	0.18	21.70	1.00	0.03
chr1	20817679	20817923	Peak_12658	20817801	1.14	1.42	0.28	5.04	1.00	0.31
chr1	20849324	20849568	Peak_10123	20849446	1.65	1.81	0.16	11.20	1.00	0.21
chr1	20951417	20951661	Peak_1305	20951539	19.13	19.47	0.34	56.45	1.00	0.00
chr1	21166342	21166586	Peak_4495	21166464	5.71	5.92	0.22	27.52	1.00	0.00
chr1	21218673	21218917	Peak_1465	21218795	17.47	17.89	0.42	43.03	1.00	0.00
chr1	21271340	21271584	Peak_6137	21271462	3.60	3.81	0.21	18.44	1.00	0.05
chr1	21526543	21526787	Peak_9988	21526665	1.69	1.83	0.14	12.84	1.00	0.21
chr1	22533151	22533395	Peak_6264	22533273	3.48	3.69	0.20	18.09	1.00	0.08
chr1	22533475	22533719	Peak_12858	22533597	1.11	1.18	0.05	23.40	0.98	0.32
chr1	22965477	22965721	Peak_5269	22965599	4.53	4.63	0.10	44.61	1.00	0.04
chr1	23835679	23835923	Peak_7486	23835801	2.65	2.79	0.14	20.57	1.00	0.13
chr1	24005556	24005800	Peak_985	24005678	22.72	22.81	0.10	233.88	1.00	0.00
chr1	24678558	24678802	Peak_10681	24678680	1.51	1.64	0.14	12.09	1.00	0.22
chr1	25104898	25105142	Peak_4740	25105020	5.33	5.64	0.31	18.04	1.00	0.00
chr1	25192107	25192351	Peak_5838	25192229	3.89	4.17	0.28	14.90	1.00	0.03
chr1	28622798	28623042	Peak_4680	28622920	5.42	5.70	0.28	20.18	1.00	0.00
chr1	29218244	29218488	Peak_8402	29218366	2.21	2.32	0.10	22.54	1.00	0.17
chr1	30274463	30274707	Peak_11327	30274585	1.37	1.57	0.20	7.74	1.00	0.25
chr1	30873915	30874159	Peak_8812	30874037	2.06	2.24	0.18	12.62	1.00	0.17
chr1	32172700	32172944	Peak_10976	32172822	1.44	1.75	0.11	16.45	0.87	0.24
chr1	33511258	33511502	Peak_6235	33511380	3.51	3.74	0.22	16.71	1.00	0.08
chr1	33637928	33638172	Peak_1677	33638050	15.70	16.05	0.34	46.55	1.00	0.00
chr1	33719688	33719932	Peak_3166	33719810	8.79	9.31	0.52	17.97	1.00	0.00
chr1	33907379	33907623	Peak_5445	33907501	4.29	4.67	0.37	12.44	1.00	0.04
chr1	33947088	33947332	Peak_6986	33947210	2.96	3.30	0.34	9.77	1.00	0.11
chr1	33964281	33964525	Peak_5354	33964403	4.42	4.58	0.17	27.66	1.00	0.04
chr1	34007158	34007402	Peak_8601	34007280	2.14	2.50	0.36	6.88	1.00	0.16
chr1	34073681	34073925	Peak_11999	34073803	1.25	1.43	0.18	7.99	1.00	0.27
chr1	34111025	34111269	Peak_13482	34111147	1.02	1.44	0.42	3.41	1.00	0.35
chr1	34304854	34305098	Peak_9244	34304976	1.91	2.14	0.23	9.48	1.00	0.16
chr1	34386753	34386997	Peak_3477	34386875	7.86	8.06	0.20	39.69	1.00	0.00
chr1	34437743	34437987	Peak_5933	34437865	3.79	3.84	0.05	75.73	1.00	0.03
chr1	34439304	34439548	Peak_12231	34439426	1.20	1.60	0.39	4.06	1.00	0.30
chr1	34575153	34575397	Peak_6968	34575275	2.98	3.17	0.19	16.88	1.00	0.11
chr1	34578481	34578725	Peak_1228	34578603	19.88	20.06	0.18	109.50	1.00	0.00
chr1	34600100	34600344	Peak_969	34600222	22.92	23.31	0.39	60.49	1.00	0.00
chr1	34664960	34665204	Peak_7101	34665082	2.89	3.10	0.21	14.80	1.00	0.13
chr1	34723783	34724027	Peak_4181	34723905	6.25	6.38	0.13	50.75	1.00	0.00
chr1	34843030	34843274	Peak_10668	34843152	1.51	1.69	0.18	9.18	1.00	0.22
chr1	34849803	34850047	Peak_2910	34849925	9.70	9.81	0.11	91.94	1.00	0.00
chr1	34870161	34870405	Peak_3588	34870283	7.59	7.79	0.20	39.36	1.00	0.00
chr1	35825707	35825951	Peak_10149	35825829	1.64	1.96	0.32	6.13	1.00	0.21
chr1	35885844	35886088	Peak_11470	35885966	1.34	1.50	0.16	9.19	1.00	0.24
chr1	36049562	36049806	Peak_10124	36049684	1.65	1.79	0.14	12.71	1.00	0.21
chr1	36085116	36085360	Peak_13459	36085238	1.02	1.18	0.16	7.36	1.00	0.35
chr1	36103959	36104203	Peak_5331	36104081	4.44	4.60	0.15	29.74	1.00	0.04
chr1	36269487	36269731	Peak_5570	36269609	4.16	4.54	0.38	11.88	1.00	0.04
chr1	36370690	36370934	Peak_4285	36370812	6.08	6.24	0.16	39.98	1.00	0.00
chr1	36408461	36408705	Peak_7726	36408583	2.53	2.88	0.35	8.34	1.00	0.13
chr1	36480923	36481167	Peak_11374	36481045	1.36	1.61	0.25	6.38	1.00	0.25
chr1	36511682	36511926	Peak_13466	36511804	1.02	1.12	0.10	11.28	1.00	0.35
chr1	36691346	36691590	Peak_993	36691468	22.63	22.94	0.31	74.92	1.00	0.00
chr1	36710021	36710265	Peak_8706	36710143	2.09	2.24	0.15	15.22	1.00	0.17
chr1	36771080	36771324	Peak_4506	36771202	5.70	6.12	0.43	14.39	1.00	0.00
chr1	36771955	36772199	Peak_3275	36772077	8.45	8.83	0.39	22.71	1.00	0.00
chr1	36778724	36778968	Peak_9903	36778846	1.71	1.89	0.18	10.59	1.00	0.20
chr1	36779185	36779429	Peak_5651	36779307	4.08	4.53	0.45	10.13	1.00	0.04
chr1	36903584	36903828	Peak_12009	36903706	1.25	1.49	0.25	6.01	1.00	0.27
chr1	36913851	36914095	Peak_9911	36913973	1.71	1.90	0.19	10.02	1.00	0.21
chr1	36939784	36940028	Peak_5774	36939906	3.97	15.59	0.26	60.51	0.26	0.03
chr1	37010203	37010447	Peak_6878	37010325	3.03	3.29	0.26	12.70	1.00	0.10
chr1	37011288	37011532	Peak_9348	37011410	1.88	2.02	0.14	14.62	1.00	0.16
chr1	37044068	37044312	Peak_1324	37044190	18.77	19.08	0.30	63.08	1.00	0.00
chr1	37075810	37076054	Peak_6007	37075932	3.73	4.07	0.34	11.93	1.00	0.03
chr1	37081731	37081975	Peak_4969	37081853	4.97	5.21	0.23	22.27	1.00	0.00
chr1	37130823	37131067	Peak_7651	37130945	2.57	2.68	0.11	24.27	1.00	0.13
chr1	37220245	37220489	Peak_8029	37220367	2.39	2.64	0.26	10.21	1.00	0.16
chr1	37234449	37234693	Peak_7873	37234571	2.45	2.62	0.17	15.40	1.00	0.14
chr1	37299752	37299996	Peak_5891	37299874	3.83	4.01	0.17	23.12	1.00	0.03
chr1	37318884	37319128	Peak_9209	37319006	1.92	2.10	0.17	12.11	1.00	0.16
chr1	37352614	37352858	Peak_10796	37352736	1.48	1.63	0.15	10.66	1.00	0.24
chr1	37398783	37399027	Peak_9566	37398905	1.81	2.07	0.27	7.79	1.00	0.18
chr1	37430002	37430246	Peak_1143	37430124	20.99	21.45	0.46	46.88	1.00	0.00
chr1	37447998	37448242	Peak_5515	37448120	4.21	4.32	0.12	37.13	1.00	0.04
chr1	37614212	37614456	Peak_6460	37614334	3.33	3.64	0.30	11.96	1.00	0.08
chr1	37686236	37686480	Peak_7709	37686358	2.54	2.91	0.37	7.92	1.00	0.13
chr1	37864983	37865227	Peak_1830	37865105	14.80	14.88	0.08	187.35	1.00	0.00
chr1	37865203	37865447	Peak_532	37865325	31.63	31.80	0.17	189.48	1.00	0.00
chr1	37890261	37890505	Peak_493	37890383	32.82	33.18	0.36	92.38	1.00	0.00
chr1	37922980	37923224	Peak_5873	37923102	3.85	3.97	0.12	32.31	1.00	0.03
chr1	37996822	37997066	Peak_2150	37996944	12.91	13.25	0.34	38.61	1.00	0.00
chr1	38074178	38074422	Peak_12907	38074300	1.10	1.31	0.21	6.18	1.00	0.32
chr1	38359177	38359421	Peak_2228	38359299	12.54	12.75	0.21	60.60	1.00	0.00
chr1	38574139	38574383	Peak_10183	38574261	1.63	1.74	0.11	15.61	1.00	0.21
chr1	38720708	38720952	Peak_13239	38720830	1.05	1.27	0.22	5.72	1.00	0.35
chr1	38767042	38767286	Peak_392	38767164	36.29	36.58	0.29	126.51	1.00	0.00
chr1	38836681	38836925	Peak_3808	38836803	7.07	7.26	0.20	36.70	1.00	0.00
chr1	38987591	38987835	Peak_2106	38987713	13.11	13.43	0.32	41.89	1.00	0.00
chr1	39012470	39012714	Peak_10093	39012592	1.65	1.95	0.30	6.56	1.00	0.21
chr1	39017915	39018159	Peak_10190	39018037	1.63	1.91	0.28	6.78	1.00	0.21
chr1	39178893	39179137	Peak_3264	39179015	8.47	8.75	0.28	31.47	1.00	0.00
chr1	39316166	39316410	Peak_6830	39316288	3.07	3.17	0.11	30.03	1.00	0.10
chr1	39317033	39317277	Peak_4956	39317155	4.99	5.29	0.30	17.52	1.00	0.00
chr1	39703805	39704049	Peak_10027	39703927	1.67	1.78	0.11	16.17	1.00	0.21
chr1	39762061	39762305	Peak_10679	39762183	1.51	1.71	0.20	8.43	1.00	0.22
chr1	39808740	39808984	Peak_5720	39808862	4.02	4.10	0.08	51.85	1.00	0.03
chr1	39840069	39840313	Peak_8793	39840191	2.06	2.26	0.20	11.48	1.00	0.17
chr1	39868970	39869214	Peak_9613	39869092	1.79	2.11	0.32	6.56	1.00	0.18
chr1	39871561	39871805	Peak_12871	39871683	1.11	1.45	0.34	4.24	1.00	0.32
chr1	39881650	39881894	Peak_10774	39881772	1.49	1.68	0.20	8.55	1.00	0.24
chr1	39891214	39891458	Peak_6994	39891336	2.96	3.32	0.36	9.19	1.00	0.11
chr1	40014684	40014928	Peak_10431	40014806	1.57	1.80	0.23	7.81	1.00	0.22
chr1	40062152	40062396	Peak_12240	40062274	1.20	1.37	0.17	8.02	1.00	0.31
chr1	40314088	40314332	Peak_7664	40314210	2.56	2.74	0.18	15.29	1.00	0.13
chr1	40320747	40320991	Peak_9499	40320869	1.83	1.93	0.10	19.97	1.00	0.16
chr1	40404951	40405195	Peak_1756	40405073	15.24	15.53	0.28	54.89	1.00	0.00
chr1	40606848	40607092	Peak_5323	40606970	4.46	4.60	0.14	32.38	1.00	0.04
chr1	40790639	40790883	Peak_1670	40790761	15.77	15.94	0.16	98.92	1.00	0.00
chr1	40796540	40796784	Peak_11511	40796662	1.33	1.39	0.06	23.58	1.00	0.24
chr1	40832859	40833103	Peak_11366	40832981	1.36	1.59	0.23	6.91	1.00	0.25
chr1	40890344	40890588	Peak_9484	40890466	1.83	1.98	0.14	13.93	1.00	0.16
chr1	41994045	41994289	Peak_3895	41994167	6.85	7.04	0.19	37.42	1.00	0.00
chr1	42606181	42606425	Peak_2066	42606303	13.31	13.49	0.18	73.79	1.00	0.00
chr1	42851098	42851342	Peak_2465	42851220	11.45	12.01	0.56	21.51	1.00	0.00
chr1	42901980	42902224	Peak_6581	42902102	3.23	3.40	0.16	20.63	1.00	0.09
chr1	43123678	43123922	Peak_6389	43123800	3.39	3.77	0.38	9.89	1.00	0.08
chr1	43511430	43511674	Peak_9235	43511552	1.91	2.17	0.25	8.51	1.00	0.16
chr1	43827864	43828108	Peak_546	43827986	31.30	31.60	0.29	107.15	1.00	0.00
chr1	43882919	43883163	Peak_11376	43883041	1.36	1.66	0.30	5.45	1.00	0.25
chr1	43933714	43933958	Peak_10063	43933836	1.66	2.06	0.40	5.17	1.00	0.21
chr1	43979329	43979573	Peak_11617	43979451	1.31	1.50	0.19	7.90	1.00	0.26
chr1	44081532	44081776	Peak_13081	44081654	1.07	1.27	0.19	6.61	1.00	0.34
chr1	44202942	44203186	Peak_9246	44203064	1.91	1.99	0.08	24.09	1.00	0.16
chr1	45795390	45795634	Peak_1406	45795512	17.96	18.36	0.40	45.60	1.00	0.00
chr1	46171537	46171781	Peak_3666	46171659	7.40	7.45	0.05	147.85	1.00	0.00
chr1	46853834	46854078	Peak_7096	46853956	2.89	3.11	0.22	14.21	1.00	0.13
chr1	49781933	49782177	Peak_8269	49782055	2.28	2.49	0.22	11.56	1.00	0.17
chr1	49986967	49987211	Peak_1027	49987089	22.35	22.48	0.13	172.53	1.00	0.00
chr1	50822523	50822767	Peak_6247	50822645	3.50	3.63	0.13	27.55	1.00	0.08
chr1	50900392	50900636	Peak_10194	50900514	1.63	1.89	0.26	7.32	1.00	0.21
chr1	51370649	51370893	Peak_7084	51370771	2.90	3.27	0.37	8.78	1.00	0.11
chr1	51426594	51426838	Peak_741	51426716	26.49	26.78	0.28	94.68	1.00	0.00
chr1	51478197	51478441	Peak_13135	51478319	1.07	1.27	0.20	6.35	1.00	0.33
chr1	51483860	51484104	Peak_4019	51483982	6.58	6.75	0.17	39.48	1.00	0.00
chr1	51746954	51747198	Peak_7909	51747076	2.44	2.60	0.16	16.02	1.00	0.14
chr1	51913544	51913788	Peak_11202	51913666	1.39	1.69	0.30	5.61	1.00	0.23
chr1	52046997	52047241	Peak_3685	52047119	7.34	7.66	0.32	24.06	1.00	0.00
chr1	52113596	52113840	Peak_734	52113718	26.61	26.81	0.20	132.02	1.00	0.00
chr1	52119125	52119369	Peak_6432	52119247	3.35	3.45	0.10	35.39	1.00	0.08
chr1	52597138	52597382	Peak_5453	52597260	4.28	4.52	0.23	19.49	1.00	0.04
chr1	52630421	52630665	Peak_7067	52630543	2.91	3.09	0.17	17.81	1.00	0.11
chr1	52681863	52682107	Peak_9045	52681985	1.98	2.05	0.07	30.43	1.00	0.17
chr1	52930584	52930828	Peak_10390	52930706	1.58	1.78	0.20	8.70	1.00	0.22
chr1	52953224	52953468	Peak_13433	52953346	1.02	1.27	0.24	5.25	1.00	0.35
chr1	53313575	53313819	Peak_8088	53313697	2.36	2.48	0.12	20.11	1.00	0.16
chr1	53352649	53352893	Peak_442	53352771	34.57	34.74	0.18	198.49	1.00	0.00
chr1	53480777	53481021	Peak_4831	53480899	5.18	6.08	0.14	44.13	0.87	0.00
chr1	53719635	53719879	Peak_12569	53719757	1.15	1.21	0.05	23.65	1.00	0.31
chr1	53813314	53813558	Peak_3281	53813436	8.42	8.58	0.16	55.16	1.00	0.00
chr1	54250663	54250907	Peak_601	54250785	29.71	29.93	0.22	133.86	1.00	0.00
chr1	54438813	54439057	Peak_13144	54438935	1.07	1.28	0.22	5.95	1.00	0.33
chr1	54443742	54443986	Peak_4972	54443864	4.96	5.02	0.06	87.35	1.00	0.00
chr1	54557499	54557743	Peak_6514	54557621	3.28	8.15	0.35	23.08	0.42	0.09
chr1	55027343	55027587	Peak_2473	55027465	11.43	11.62	0.19	59.93	1.00	0.00
chr1	55052630	55052874	Peak_9125	55052752	1.95	2.10	0.15	14.14	1.00	0.16
chr1	55088230	55088474	Peak_11764	55088352	1.29	1.36	0.08	17.58	1.00	0.27
chr1	55171997	55172241	Peak_375	55172119	37.26	37.66	0.39	95.51	1.00	0.00
chr1	55195320	55195564	Peak_11292	55195442	1.37	1.52	0.15	10.12	1.00	0.24
chr1	55224315	55224559	Peak_5561	55224437	4.16	4.35	0.18	23.65	1.00	0.04
chr1	55237060	55237304	Peak_4588	55237182	5.54	5.67	0.13	44.64	1.00	0.00
chr1	55405557	55405801	Peak_3826	55405679	7.01	7.24	0.23	31.55	1.00	0.00
chr1	55724425	55724669	Peak_7561	55724547	2.61	2.83	0.21	13.19	1.00	0.13
chr1	55736115	55736359	Peak_7143	55736237	2.86	2.99	0.13	23.10	1.00	0.13
chr1	56785608	56785852	Peak_10782	56785730	1.48	1.63	0.15	11.24	1.00	0.24
chr1	56972932	56973176	Peak_8730	56973054	2.09	2.21	0.12	18.17	1.00	0.17
chr1	57191277	57191521	Peak_8438	57191399	2.20	2.35	0.15	15.89	1.00	0.17
chr1	57198745	57198989	Peak_7822	57198867	2.48	2.79	0.31	9.01	1.00	0.13
chr1	57510441	57510685	Peak_7740	57510563	2.52	2.82	0.30	9.47	1.00	0.13
chr1	57534678	57534922	Peak_12861	57534800	1.11	1.20	0.09	12.90	1.00	0.32
chr1	57551755	57551999	Peak_5719	57551877	4.02	4.26	0.24	17.90	1.00	0.03
chr1	57563967	57564211	Peak_5503	57564089	4.21	4.38	0.16	26.66	1.00	0.04
chr1	57985142	57985386	Peak_10637	57985264	1.52	1.89	0.37	5.10	1.00	0.23
chr1	57995865	57996109	Peak_7384	57995987	2.71	2.89	0.18	15.92	1.00	0.14
chr1	58289937	58290181	Peak_2743	58290059	10.35	10.54	0.19	56.89	1.00	0.00
chr1	58423981	58424225	Peak_314	58424103	40.16	40.59	0.43	94.23	1.00	0.00
chr1	58455067	58455311	Peak_12832	58455189	1.11	1.35	0.12	11.26	0.90	0.31
chr1	58504794	58505038	Peak_6927	58504916	3.00	3.11	0.10	29.62	1.00	0.12
chr1	58534408	58534652	Peak_12976	58534530	1.09	1.29	0.18	7.23	0.98	0.32
chr1	59094791	59095035	Peak_1280	59094913	19.44	19.95	0.51	39.09	1.00	0.00
chr1	59119768	59120012	Peak_8501	59119890	2.18	3.22	0.43	7.54	0.78	0.16
chr1	59367168	59367412	Peak_12769	59367290	1.12	1.33	0.20	6.48	1.00	0.30
chr1	59423698	59423942	Peak_10226	59423820	1.62	2.07	0.45	4.63	1.00	0.21
chr1	59561508	59561752	Peak_5476	59561630	4.25	4.40	0.15	29.20	1.00	0.04
chr1	59574955	59575199	Peak_2937	59575077	9.62	9.82	0.20	48.65	1.00	0.00
chr1	59585159	59585403	Peak_13137	59585281	1.07	1.14	0.07	15.30	1.00	0.33
chr1	59603995	59604239	Peak_1357	59604117	18.44	18.74	0.30	62.55	1.00	0.00
chr1	59606630	59606874	Peak_2028	59606752	13.53	14.06	0.53	26.55	1.00	0.00
chr1	59613928	59614172	Peak_2007	59614050	13.69	14.01	0.31	44.74	1.00	0.00
chr1	59670712	59670956	Peak_12749	59670834	1.12	1.52	0.40	3.81	1.00	0.30
chr1	59697726	59697970	Peak_10471	59697848	1.56	1.82	0.26	7.07	1.00	0.22
chr1	59729226	59729470	Peak_8390	59729348	2.22	2.57	0.35	7.38	1.00	0.17
chr1	59762693	59762937	Peak_8138	59762815	2.33	2.66	0.33	8.02	1.00	0.16
chr1	59942877	59943121	Peak_2369	59942999	11.81	12.13	0.32	37.55	1.00	0.00
chr1	60007343	60007587	Peak_11062	60007465	1.42	1.81	0.39	4.61	1.00	0.23
chr1	60098120	60098364	Peak_334	60098242	39.37	39.81	0.43	91.85	1.00	0.00
chr1	60145290	60145534	Peak_12388	60145412	1.18	1.36	0.18	7.50	1.00	0.31
chr1	60343331	60343575	Peak_4189	60343453	6.24	6.39	0.15	41.96	1.00	0.00
chr1	60343495	60343739	Peak_4314	60343617	6.03	6.33	0.30	21.16	1.00	0.00
chr1	60754022	60754266	Peak_3071	60754144	9.13	9.36	0.23	40.89	1.00	0.00
chr1	60921126	60921370	Peak_11409	60921248	1.35	1.43	0.08	17.38	1.00	0.24
chr1	61473038	61473282	Peak_4821	61473160	5.19	5.30	0.11	46.32	1.00	0.00
chr1	62414584	62414828	Peak_1422	62414706	17.85	18.05	0.20	92.04	1.00	0.00
chr1	62772382	62772626	Peak_6814	62772504	3.08	3.32	0.24	13.94	1.00	0.10
chr1	63091718	63091962	Peak_11184	63091840	1.39	1.81	0.42	4.32	1.00	0.23
chr1	63092533	63092777	Peak_7545	63092655	2.62	2.82	0.20	13.86	1.00	0.13
chr1	63200325	63200569	Peak_5223	63200447	4.61	4.77	0.16	30.49	1.00	0.04
chr1	63264621	63264865	Peak_11634	63264743	1.31	1.54	0.23	6.59	1.00	0.26
chr1	63445597	63445841	Peak_2227	63445719	12.54	13.00	0.46	28.10	1.00	0.00
chr1	63466999	63467243	Peak_2172	63467121	12.79	12.99	0.20	66.38	1.00	0.00
chr1	63645101	63645345	Peak_11926	63645223	1.26	1.49	0.23	6.52	1.00	0.27
chr1	63730240	63730484	Peak_1516	63730362	17.02	17.20	0.18	95.26	1.00	0.00
chr1	64121516	64121760	Peak_6737	64121638	3.13	3.37	0.24	14.02	1.00	0.10
chr1	64224361	64224605	Peak_13015	64224483	1.08	1.39	0.31	4.54	1.00	0.33
chr1	64241939	64242183	Peak_5829	64242061	3.90	4.08	0.18	22.28	1.00	0.03
chr1	64338520	64338764	Peak_9287	64338642	1.90	1.97	0.07	28.75	1.00	0.16
chr1	64455623	64455867	Peak_4199	64455745	6.22	6.36	0.14	45.70	1.00	0.00
chr1	64617080	64617324	Peak_737	64617202	26.59	27.19	0.60	45.61	1.00	0.00
chr1	64731753	64731997	Peak_4385	64731875	5.92	6.19	0.27	22.90	1.00	0.00
chr1	64738660	64738904	Peak_11465	64738782	1.34	1.70	0.36	4.71	1.00	0.24
chr1	64753132	64753376	Peak_638	64753254	28.72	28.95	0.22	128.77	1.00	0.00
chr1	64769735	64769979	Peak_3905	64769857	6.83	7.01	0.18	38.68	1.00	0.00
chr1	64806332	64806576	Peak_9876	64806454	1.72	1.80	0.09	20.69	1.00	0.19
chr1	64919209	64919453	Peak_11664	64919331	1.30	1.77	0.47	3.76	1.00	0.27
chr1	64928631	64928875	Peak_12996	64928753	1.09	1.19	0.10	11.48	1.00	0.33
chr1	65104672	65104916	Peak_293	65104794	41.14	41.43	0.28	147.25	1.00	0.00
chr1	65357373	65357617	Peak_9530	65357495	1.82	1.92	0.11	18.07	1.00	0.17
chr1	65408002	65408246	Peak_1857	65408124	14.66	15.02	0.36	41.63	1.00	0.00
chr1	66674932	66675176	Peak_13094	66675054	1.07	1.31	0.24	5.52	1.00	0.33
chr1	66816896	66817140	Peak_1940	66817018	14.11	14.21	0.10	139.74	1.00	0.00
